Symbol,Last,%Change,1Hour,1Day,1Week
ACAD,18.67,-1.63%, ,Z2, 
APTV,110.52,+0.88%, Z2,Z2, 
AXTA,29.48,+0.86%, , , 
BAM,31.89,+1.59%,Z4,Z2, 
BG,95.16,-1.90%, ,Z2, 
BLMN,25.46,+0.71%, ,Z2, Z3
BRK/B,303.335,-0.64%, Z3,Z2, 
BYND,15.70,-0.32%, ,Z2, 
CARR,45.175,-0.45%, ,Z2, Z2
CFLT,22.61,+3.29%, ,Z3, 
CHRW,96.77,+0.35%, ,Z2,Z2
COIN,64.995,-0.47%, ,Z2, 
CP,75.49,-0.35%, ,Z2, 
CTLT,64.36,-3.81%,Z3,Z3, 
DKS,137.33,-0.64%, ,Z2, 
DQ,46.99,+0.51%, ,Z2, 
EURN,16.5713,-1.30%, ,Z2,Z2
EXPD,107.14,+1.47%, Z2,Z3, 
FRO,16.27,-1.03%, ,Z3, 
FTDR,27.27,+1.75%, Z2,Z2, Z2
HZNP,109.13,+0.22%, ,Z2, 
LAC,21.3501,+0.57%, Z2,Z2, 
LVS,54.725,-0.32%, ,Z3, 
MA,359.02,-0.14%, ,Z2, Z2
NKE,119.925,-0.47%, ,Z2, 
NOW,439.815,+0.31%, ,Z2, 
ROKU,61.32,-4.05%,Z2,Z2, 
RTX,97.35,-0.36%, Z2,Z2, Z2
RVLV,25.80,-0.31%, ,Z2, 
SNN,27.275,+0.06%, ,Z4, 
SONO,19.025,+0.40%, ,Z2, 
STNG,54.92,-1.15%, ,Z2, 
SYNH,35.31,+1.12%,Z4,Z2, 
T,19.01,+0.05%, ,Z2, 
TMO,559.72,+0.82%, ,Z2, 
TSM,92.435,-0.35%, Z2,Z2, 
TWLO,63.34,+0.67%, ,Z2, 
V,221.88,-0.64%, ,Z2, Z2
VRNS,24.54,-1.41%, ,Z2, 
VST,23.66,+0.64%, ,Z3, 
VXX,46.01,+2.00%, ,Z2, 
Z,42.81,-1.02%, ,Z2, 
